phase,dataset,scene,method,trial,seed,status,success,trajectory_coverage,ate_rmse_m,rpe_rmse_m,protocol_tag,git_sha,git_dirty,config_sha256,manifest_sha256,bag_sha256,gt_sha256,model_sha256
stage_a_n1,euroc,MH_04_difficult,adaptive_arbitration_v2_g3,1,1001,ok,1,,0.447797,0.065888,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,fece2a41c8e672f899ceed2810a76afecaf428a225b650dbdbecc18f52050ef1,eab19b6a7a234ef2a4ba37b8609f5a44284f8ee12239001079b5fcd00e749b86,cbdd4e3124bd56a8fa8ed9dd885ce6fa096287094dca0c301adb5acd858d3d55,5639c79189c99a4ce72622378f07f5bc26e93ad368a010f00d48468f3884fec9,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,euroc,MH_04_difficult,union_weight,1,1001,ok,1,,0.46279,0.065883,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,5107493b64b82b809524117111ac7e2d17563bb87465598f34802bb7c9b4de0e,84cd96262ddfefc9a9377d18bb097c86a6e18c4fb9b9feee9bea9ad46628914e,cbdd4e3124bd56a8fa8ed9dd885ce6fa096287094dca0c301adb5acd858d3d55,5639c79189c99a4ce72622378f07f5bc26e93ad368a010f00d48468f3884fec9,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,viode,city_day_2_mid,adaptive_arbitration,1,1001,ok,1,,0.164317,0.029066,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,83043053a354806ce2a66a13e4c5a236c5ba5967a04dc5e250dbfd98bfd5e492,907747888bd0a9797db884c5fe05ca76169228b6cbacdf6311beabc5d51a390f,941c99688d5f8adde8f793c3ae1edc962defde69ee35dd6f5358aac3ea566af9,976ff0ed6d1463c5f163ef2bfb83e4dcd6404281cab327fb223f7c702e61b569,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,viode,city_day_2_mid,adaptive_arbitration_v2,1,1001,ok,1,,0.139402,0.027505,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,a1ff65b96b638e8b8fd4a64e8b7d6ba8793bbd7ff75ca24375a2214e346b11c0,45e19c939f0a7dc867f6ffafdbaa9cbf04f6ac5464e4007b068c734fd4b8421d,941c99688d5f8adde8f793c3ae1edc962defde69ee35dd6f5358aac3ea566af9,976ff0ed6d1463c5f163ef2bfb83e4dcd6404281cab327fb223f7c702e61b569,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,viode,city_day_2_mid,adaptive_arbitration_v2_f0,1,1001,ok,1,,0.151783,0.028405,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,d223a16661800c2979b0c270d089e676c4fb3fb34e3450293b93281d83d0718b,521cb7f19069421d2729c3865fc7d37a41fb3eacefc3c43c5ac59e7173eaaaf1,941c99688d5f8adde8f793c3ae1edc962defde69ee35dd6f5358aac3ea566af9,976ff0ed6d1463c5f163ef2bfb83e4dcd6404281cab327fb223f7c702e61b569,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,viode,city_day_2_mid,adaptive_arbitration_v2_f2,1,1001,ok,1,,0.152713,0.028474,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,813d7c5eb43e146de5811f03e8d963fb877115830d324340c2f8cea5f0f38205,9f507af92317203c2bd617786750666d1664fd5251ad43ef8ffd6c15b62f39e7,941c99688d5f8adde8f793c3ae1edc962defde69ee35dd6f5358aac3ea566af9,976ff0ed6d1463c5f163ef2bfb83e4dcd6404281cab327fb223f7c702e61b569,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,viode,city_day_2_mid,adaptive_arbitration_v2_g1,1,1001,ok,1,,0.15129,0.02873,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,f70f005b102ddf5dcd3a5120253334b7b39ca54c5c57053cf539f87c9e5ee06c,a5aac55eb5a1f96faf90f2a2970b3e9cc1832e94975614e0b7496e000398f163,941c99688d5f8adde8f793c3ae1edc962defde69ee35dd6f5358aac3ea566af9,976ff0ed6d1463c5f163ef2bfb83e4dcd6404281cab327fb223f7c702e61b569,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,viode,city_day_2_mid,adaptive_arbitration_v2_g3,1,1001,ok,1,,0.153774,0.027516,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,5bc990bbcb2e3127242abfb1e41502755731dbf59cae8c84dfb75a206ed0c459,5f03cc3e629bf96fe1716881dbd4c112d81d1016dd528ad78132a7cc5336e372,941c99688d5f8adde8f793c3ae1edc962defde69ee35dd6f5358aac3ea566af9,976ff0ed6d1463c5f163ef2bfb83e4dcd6404281cab327fb223f7c702e61b569,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,viode,city_day_2_mid,union_weight,1,1001,ok,1,,0.178853,0.030244,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,af03ac1b093d2580d3ee5fcb901eb9cd0f6fe6c738e6ae9de5256025fdcb12fb,e2e06262a335c7d27c7bb5272db30ad68a58a1256a22fff051cfdc1238d1fefc,941c99688d5f8adde8f793c3ae1edc962defde69ee35dd6f5358aac3ea566af9,976ff0ed6d1463c5f163ef2bfb83e4dcd6404281cab327fb223f7c702e61b569,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,viode,city_day_3_high,adaptive_arbitration,1,1001,ok,1,,0.252498,0.093267,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,d70017933a2cf29c8f45fc694d295f50c70635a4a449b5e2eaded3625ff5c2cf,908684205ed68d724d657ad09a9d4699ac9aae273a47c99160306fc63d92a30f,f9a125508f42574ec20c9d3ae883f0ce73665469787cca403f5576db78e62d4b,976ff0ed6d1463c5f163ef2bfb83e4dcd6404281cab327fb223f7c702e61b569,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,viode,city_day_3_high,adaptive_arbitration_v2,1,1001,ok,1,,0.195755,0.077752,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,e9271e676454e0f6786c0a7911e2283b53bab07ccf572a059cb4530ef680a5ba,490e48c23daa7f6bd4b9fed2ccfad44e2a40db9e475abe25949f03a74139023b,f9a125508f42574ec20c9d3ae883f0ce73665469787cca403f5576db78e62d4b,976ff0ed6d1463c5f163ef2bfb83e4dcd6404281cab327fb223f7c702e61b569,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,viode,city_day_3_high,adaptive_arbitration_v2_f0,1,1001,ok,1,,0.194976,0.07791,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,67b85e0290e7e983ee756bcf2a1c623f4b3954b1a4e91275ae78b4b8ed41dd02,53816b1567364a4cfccb3b3c2266ea3eb272d3808651f8c6c7b9a83d6ac104a6,f9a125508f42574ec20c9d3ae883f0ce73665469787cca403f5576db78e62d4b,976ff0ed6d1463c5f163ef2bfb83e4dcd6404281cab327fb223f7c702e61b569,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,viode,city_day_3_high,adaptive_arbitration_v2_f2,1,1001,ok,1,,0.194776,0.07815,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,3a1b245775f01bb3c12f0bd61b921b2810fdaa39456cb3b8909f29ff032b80d9,ef684fdb6fe9006659d11bbcfd798428a75e4ec969a64a98c0ec41c5ce18034a,f9a125508f42574ec20c9d3ae883f0ce73665469787cca403f5576db78e62d4b,976ff0ed6d1463c5f163ef2bfb83e4dcd6404281cab327fb223f7c702e61b569,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,viode,city_day_3_high,adaptive_arbitration_v2_g1,1,1001,ok,1,,0.196128,0.077763,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,0d17a2cd99bb0b9cc513cff60b4c13ca7bf7648c4f85bf69fb552d42ee6e7b76,ff3d32d2e8ec503e0c819a9cc6a576dfa619f1fc0d5174ec3569ea8e45cbfb4c,f9a125508f42574ec20c9d3ae883f0ce73665469787cca403f5576db78e62d4b,976ff0ed6d1463c5f163ef2bfb83e4dcd6404281cab327fb223f7c702e61b569,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,viode,city_day_3_high,adaptive_arbitration_v2_g3,1,1001,ok,1,,0.19579,0.077766,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,766b65ef0ce7afcc0aa13f9898b100bd05a3be568f56051b1536a8015e264b88,c0d1c37671f8a711827dc174d121603158c93539a6160bf170784411ba85165d,f9a125508f42574ec20c9d3ae883f0ce73665469787cca403f5576db78e62d4b,976ff0ed6d1463c5f163ef2bfb83e4dcd6404281cab327fb223f7c702e61b569,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
stage_a_n1,viode,city_day_3_high,union_weight,1,1001,ok,1,,0.23915,0.078341,p35-stagea-61f86ed,61f86edc8d1602db1ebb8ffa0a506242e4c683e4,False,0cdc00fd0b9c7cac0aa1ea514e63a399efc6e46ad2df1d879d6abc5bf0b863be,2b41157559386662bc024f86d448e8be22d843c14c53804bb328b9487dfc274d,f9a125508f42574ec20c9d3ae883f0ce73665469787cca403f5576db78e62d4b,976ff0ed6d1463c5f163ef2bfb83e4dcd6404281cab327fb223f7c702e61b569,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
